mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_samples,param_classifier__max_features,param_classifier__max_depth,param_classifier__class_weight,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision
990.0143330097198,20.228481630068124,17.16014051437378,0.2393514244238634,600,2,2,0.8,0.5,16,"{0: 1, 1: 10}","{'classifier__n_estimators': 600, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_samples': 0.8, 'classifier__max_features': 0.5, 'classifier__max_depth': 16, 'classifier__class_weight': {0: 1, 1: 10}}",0.2572040872072947,0.2636704278032141,0.2801029801484229,0.26699249838631056,0.009639050409717709,1,0.9446969809490363,0.9483179240418851,0.947448535335174,0.9468211467753651,0.0015433771464220085,8,0.3174858984689766,0.31020408163265306,0.33124018838304553,0.31964338949489174,0.008722404960737801,1,0.2944693572496263,0.28400597907324365,0.3153961136023916,0.2979571499750872,0.013050125414757136,7,0.34440559440559443,0.34172661870503596,0.3487603305785124,0.34496418122971423,0.002898538724924582,9
236.5892332394918,4.547966388072271,8.568243265151978,0.1204575479797643,250,10,2,1.0,sqrt,,"{0: 1, 1: 20}","{'classifier__n_estimators': 250, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_samples': 1.0, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None, 'classifier__class_weight': {0: 1, 1: 20}}",0.25945626384584336,0.26592719601337345,0.27382418732891045,0.2664025490627091,0.005875302925237258,2,0.9457157923127547,0.9476830414004819,0.9496677014368125,0.9476888450500164,0.0016133653632420324,6,0.3235294117647059,0.3111111111111111,0.3102362204724409,0.3149589144494193,0.0060707729645633045,5,0.29596412556053814,0.2825112107623318,0.2944693572496263,0.2909815645241654,0.006020451406873243,11,0.3567567567567568,0.34615384615384615,0.3277870216306156,0.34356587484707285,0.01196758357489669,11
392.2547673384349,2.0445489099063554,13.381589889526367,0.5008298184570052,400,20,2,1.0,sqrt,24,"{0: 1, 1: 10}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_samples': 1.0, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 24, 'classifier__class_weight': {0: 1, 1: 10}}",0.25641860000418426,0.26292268681808967,0.26892399673033657,0.2627550945175368,0.005106682041144305,3,0.9458490229380445,0.9509292427927288,0.9513374670867988,0.9493719109391906,0.0024966266133901707,5,0.3056696795398521,0.32656376929325753,0.3248,0.31901114961103655,0.009461283854924847,3,0.27802690582959644,0.3004484304932735,0.3034379671150972,0.29397110114598907,0.011340116269796745,9,0.33941605839416056,0.35765124555160144,0.3493975903614458,0.3488216314357359,0.007455615743844942,7
281.95434912045795,3.181428416815464,12.803767999013266,0.1922666436641046,400,10,1,0.65,sqrt,16,"{0: 1, 1: 10}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_samples': 0.65, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 16, 'classifier__class_weight': {0: 1, 1: 10}}",0.255503465847503,0.2596708804550631,0.26992379199356953,0.2616993794320452,0.006059293556977613,4,0.9480989478806037,0.9512937591350108,0.9502416532822822,0.9498781200992988,0.0013293662698617157,3,0.30618892508143325,0.32459016393442625,0.3278943278943279,0.31955780563672914,0.009548982505824179,2,0.28101644245142005,0.29596412556053814,0.3153961136023916,0.2974588938714499,0.014075183748705054,8,0.3363148479427549,0.35934664246823955,0.3414239482200647,0.3456951462103531,0.009875837144945183,8
393.21112600962323,3.5250295886412513,13.079606294631958,0.18665339735144187,400,20,1,1.0,sqrt,32,"{0: 1, 1: 5}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 1, 'classifier__max_samples': 1.0, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 32, 'classifier__class_weight': {0: 1, 1: 5}}",0.25669539059278346,0.25813046929567657,0.2684513649078871,0.26109240826544905,0.005236445669207116,5,0.9470818219328263,0.9472924537803648,0.946625352607449,0.94699987610688,0.0002784389011601695,7,0.25949367088607594,0.26403326403326405,0.26652675760755506,0.26335123084229833,0.002911466315924631,15,0.18385650224215247,0.1898355754857997,0.1898355754857997,0.1878425510712506,0.0028185621571960077,15,0.44086021505376344,0.4334470989761092,0.4471830985915493,0.44049680420714066,0.0056135830471826615,5
956.8615914185842,18.0293626537826,10.528842131296793,0.28720495546368824,400,2,1,0.8,0.8,24,,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_samples': 0.8, 'classifier__max_features': 0.8, 'classifier__max_depth': 24, 'classifier__class_weight': None}",0.2504205491195954,0.27354994912139496,0.2576384694127036,0.2605363225512313,0.009662313412434516,6,0.9229145825633278,0.9332741571757811,0.931495606955826,0.9292281155649783,0.004523003017422755,20,0.14882506527415143,0.14678899082568808,0.1498028909329829,0.14847231567760746,0.0012554475092131847,16,0.08520179372197309,0.08370702541106129,0.08520179372197309,0.08470353761833582,0.0007046405392989988,16,0.5876288659793815,0.5957446808510638,0.6195652173913043,0.6009795880739165,0.01355324870281079,1
1690.0162756443024,18.484055436838354,13.241167147954306,1.307482183333108,600,5,1,1.0,0.8,,,"{'classifier__n_estimators': 600, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_samples': 1.0, 'classifier__max_features': 0.8, 'classifier__max_depth': None, 'classifier__class_weight': None}",0.24806380550372703,0.2673572626082252,0.25569852508331115,0.25703986439842114,0.007933421503549493,7,0.9271917769639726,0.9352481930723415,0.9348276140774908,0.932422528037935,0.003702682745528024,19,0.12283044058744993,0.11621621621621622,0.11812080536912752,0.11905582072426456,0.002780009747466369,17,0.0687593423019432,0.06427503736920777,0.06576980568011959,0.06626806178375684,0.001864303630679591,17,0.575,0.6056338028169014,0.5789473684210527,0.586527057079318,0.013606278670118356,2
374.02690132459,2.829994612974527,12.147567431131998,0.10203394130804554,400,10,5,1.0,sqrt,16,"{0: 1, 1: 10}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_samples': 1.0, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 16, 'classifier__class_weight': {0: 1, 1: 10}}",0.24608897700129623,0.25875268646761235,0.25623035302570774,0.2536906721648721,0.005472955844756849,8,0.94887238074136,0.9516154102334754,0.9505696096421683,0.9503524668723345,0.0011303143915218018,1,0.2990961380443714,0.32336297493936944,0.3192632386799693,0.3139074505545701,0.010606073513329841,6,0.27204783258594917,0.29895366218236175,0.3109118086696562,0.293971101145989,0.01625262225241663,10,0.33211678832116787,0.352112676056338,0.3280757097791798,0.33743505805222856,0.010508946399823572,12
656.7056349118551,10.93142353015417,11.743943055470785,0.5152451986797816,400,2,5,0.8,0.5,32,"{0: 1, 1: 10}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 5, 'classifier__max_samples': 0.8, 'classifier__max_features': 0.5, 'classifier__max_depth': 32, 'classifier__class_weight': {0: 1, 1: 10}}",0.2416354402740555,0.2507038508387743,0.2648234274888247,0.2523875728672182,0.00954102991190767,9,0.9408553085613607,0.9452869743426572,0.9427885784598515,0.9429769537879565,0.0018141167451329332,12,0.31413612565445026,0.3123644251626898,0.3299856527977044,0.3188287345382815,0.007922219783356579,4,0.31390134529147984,0.32286995515695066,0.34379671150971597,0.32685600398604886,0.012525964215223237,6,0.3143712574850299,0.3025210084033613,0.31724137931034485,0.31137788173291203,0.006371423373408135,14
1120.5880591869354,20.375761920020896,9.435880740483602,0.5973707450901476,600,20,1,0.65,0.8,,"{0: 1, 1: 5}","{'classifier__n_estimators': 600, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 1, 'classifier__max_samples': 0.65, 'classifier__max_features': 0.8, 'classifier__max_depth': None, 'classifier__class_weight': {0: 1, 1: 5}}",0.22754246693384927,0.2378943204107263,0.237364720572319,0.23426716930563152,0.004759995482420871,10,0.9397361547557346,0.9442362905596285,0.9431868557901991,0.942386433701854,0.001922379116789935,13,0.2986666666666667,0.3080851063829787,0.29617021276595745,0.30097399527186763,0.005130561791559625,9,0.25112107623318386,0.2705530642750374,0.2600896860986547,0.260587942202292,0.007940895590687216,13,0.3684210526315789,0.3577075098814229,0.3438735177865613,0.3566673600998544,0.01004844267927164,6
274.94097391764325,2.957984986949027,11.691701491673788,0.3094830516195363,400,2,10,0.65,sqrt,16,"{0: 1, 1: 20}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 10, 'classifier__max_samples': 0.65, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 16, 'classifier__class_weight': {0: 1, 1: 20}}",0.22714587651375026,0.2349435197264067,0.2370903070801947,0.2330599011067839,0.004272699314707349,11,0.9493850632028721,0.9500223611055119,0.9514872433801864,0.9502982225628568,0.0008801003852628354,2,0.28249648052557486,0.29315673289183225,0.28963153384747214,0.28842824908829306,0.004434423358741514,12,0.4499252615844544,0.4962630792227205,0.5052316890881914,0.4838066766317888,0.024235947198834724,1,0.20588235294117646,0.20802005012531327,0.203003003003003,0.20563513535649758,0.0020556471580342258,20
966.5220455328623,24.559557943011598,7.3276526927948,0.6245487425320665,600,10,5,0.65,0.8,32,,"{'classifier__n_estimators': 600, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_samples': 0.65, 'classifier__max_features': 0.8, 'classifier__max_depth': 32, 'classifier__class_weight': None}",0.214941583341619,0.24098855568877361,0.23891098802778912,0.2316137090193939,0.011819444510583208,12,0.9421868097271793,0.9418415026121161,0.940530106050735,0.9415194727966768,0.0007136498531772866,15,0.04291845493562232,0.03751803751803752,0.03488372093023256,0.03844007112796413,0.0033443332287834164,18,0.02242152466367713,0.01943198804185351,0.017937219730941704,0.019930244145490782,0.0018643036306795918,18,0.5,0.5416666666666666,0.631578947368421,0.5577485380116959,0.05490734490705824,3
259.86477669080097,4.893849074820718,11.239133834838867,0.2105787655423188,400,20,5,0.65,sqrt,24,,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 5, 'classifier__max_samples': 0.65, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 24, 'classifier__class_weight': None}",0.2188880037577915,0.23683976654621214,0.2350114490467123,0.23024640645023864,0.008066212246673875,13,0.9483592092082579,0.9494393877702517,0.9503335385477726,0.9493773785087608,0.0008072083360158113,4,0.0,0.0,0.0029850746268656717,0.0009950248756218905,0.0014071776740030796,20,0.0,0.0,0.0014947683109118087,0.0004982561036372695,0.000704640539299001,20,0.0,0.0,1.0,0.3333333333333333,0.4714045207910317,13
678.2114511330923,9.236551136791904,8.856428464253744,0.8292155610394042,400,10,10,0.8,0.5,32,"{0: 1, 1: 5}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 10, 'classifier__max_samples': 0.8, 'classifier__max_features': 0.5, 'classifier__max_depth': 32, 'classifier__class_weight': {0: 1, 1: 5}}",0.21324334549191426,0.23633291239204418,0.23747842285620133,0.22901822691338658,0.011164324474324694,14,0.9454767566921058,0.94643957312086,0.9478238940183972,0.9465800746104543,0.0009633514099403767,9,0.28397212543554007,0.30390492359932086,0.299581589958159,0.29581954633100666,0.00856130207577305,10,0.2436472346786248,0.26756352765321373,0.26756352765321373,0.25959142999501744,0.011274248628784006,14,0.34029227557411273,0.3516699410609037,0.3403041825095057,0.34408879971484074,0.005360678658871276,10
1108.4232958157857,23.838873597192517,11.114171028137207,0.08363762158128442,400,20,1,1.0,0.8,16,"{0: 1, 1: 10}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 1, 'classifier__max_samples': 1.0, 'classifier__max_features': 0.8, 'classifier__max_depth': 16, 'classifier__class_weight': {0: 1, 1: 10}}",0.22088078227298638,0.2303940088047242,0.2356821293600685,0.22898564014592634,0.006124137795498592,15,0.9394674362516625,0.9450965524380529,0.9387373727546704,0.9411004538147952,0.0028413437352200407,16,0.2976109215017065,0.29058663028649384,0.3275971956660293,0.3052649158180765,0.016049573393592864,8,0.32585949177877427,0.3183856502242152,0.3841554559043348,0.34280019930244143,0.02940133232074127,5,0.27386934673366836,0.2672521957340025,0.28555555555555556,0.2755590326744088,0.007567233053239593,15
1647.3786194324493,26.209730070839374,15.343632936477661,0.06937666040428395,600,10,10,1.0,0.8,24,,"{'classifier__n_estimators': 600, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 10, 'classifier__max_samples': 1.0, 'classifier__max_features': 0.8, 'classifier__max_depth': 24, 'classifier__class_weight': None}",0.20514455686288544,0.22969338624187038,0.2299104065348895,0.22158278321321512,0.011623918977992467,16,0.9417881787604516,0.9457423752347149,0.9445231573817781,0.9440179037923149,0.0016533558462549602,10,0.040345821325648415,0.017595307917888565,0.026239067055393587,0.028060065432976854,0.009376690652802685,19,0.02092675635276532,0.008968609865470852,0.013452914798206279,0.014449427005480816,0.004932483775093007,19,0.56,0.46153846153846156,0.5294117647058824,0.5169834087481147,0.04114621621253479,4
917.2060378392538,20.410890849051153,10.959397157033285,0.2149398354001263,400,20,2,0.8,0.8,16,"{0: 1, 1: 20}","{'classifier__n_estimators': 400, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_samples': 0.8, 'classifier__max_features': 0.8, 'classifier__max_depth': 16, 'classifier__class_weight': {0: 1, 1: 20}}",0.21273572989443526,0.21907992695159242,0.2295898375843264,0.22046849814345137,0.006950363730134677,17,0.9370808045134355,0.9444975225062845,0.9391404580349564,0.9402395950182254,0.0031260201564028167,17,0.2810755961440893,0.29393939393939394,0.2952830188679245,0.2900993363171359,0.006404282266324306,11,0.414050822122571,0.4349775784753363,0.4678624813153961,0.43896362730443444,0.022148590703430854,2,0.21274961597542244,0.2219679633867277,0.21571330117160578,0.216810293511252,0.0038424841265177565,19
620.4643347263336,2.761795014188689,7.042142152786255,0.12224748918186197,250,2,10,0.8,0.8,32,"{0: 1, 1: 10}","{'classifier__n_estimators': 250, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 10, 'classifier__max_samples': 0.8, 'classifier__max_features': 0.8, 'classifier__max_depth': 32, 'classifier__class_weight': {0: 1, 1: 10}}",0.20609234477703064,0.22718922086782095,0.22553372166577038,0.21960509577020734,0.009578830789983209,18,0.9400795281569727,0.9408126389461791,0.9387468456951595,0.9398796709327705,0.0008551150493895852,18,0.3011972274732199,0.31105854523950327,0.32329084588644263,0.31184887286638857,0.009036977996566371,7,0.3572496263079223,0.3931240657698057,0.4170403587443946,0.3891380169407075,0.024571655218610756,4,0.26034858387799564,0.2573385518590998,0.2639545884578997,0.2605472413983317,0.0027046359800602204,17
401.99463748931885,3.52651861544245,7.058990557988484,0.24836494498578357,250,20,5,1.0,0.5,24,balanced_subsample,"{'classifier__n_estimators': 250, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 5, 'classifier__max_samples': 1.0, 'classifier__max_features': 0.5, 'classifier__max_depth': 24, 'classifier__class_weight': 'balanced_subsample'}",0.181890333974462,0.20980085505296148,0.21639356391468909,0.20269491764737088,0.01495524387154719,19,0.9408071237234797,0.9459410586871011,0.9450639877943381,0.9439373900683062,0.0022422070793303096,11,0.23534798534798534,0.30386740331491713,0.31790963527490473,0.2857083413126024,0.036068639742087405,13,0.3841554559043348,0.4110612855007474,0.43647234678624813,0.4105630293971101,0.021361186955880445,3,0.16963696369636963,0.24101665205959685,0.25,0.2202178719186555,0.03595363998723973,18
567.2641874154409,119.90281424259712,5.653125921885173,0.750385000130059,400,2,5,0.8,0.8,,balanced_subsample,"{'classifier__n_estimators': 400, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 5, 'classifier__max_samples': 0.8, 'classifier__max_features': 0.8, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced_subsample'}",0.17513730288510623,0.20403939617016625,0.20464905325227023,0.19460858410251425,0.013770524430221222,20,0.9408861727407777,0.9426051841377862,0.9435896476275311,0.942360334835365,0.0011171861979988394,14,0.21052631578947367,0.28173628173628174,0.3061062648691515,0.2661229541316356,0.04055213652970666,14,0.2571001494768311,0.2571001494768311,0.2884902840059791,0.26756352765321373,0.014797451325279038,12,0.17823834196891192,0.3115942028985507,0.3260135135135135,0.271948686126992,0.0665241839800738,16
